lang,f1_macro,precision_macro,recall_macro,used_dev_labels,val_from_train,model_name
amh,,,,False,0.1,ERROR
arb,0.7304837762764735,0.7333754208754208,0.7356482629174488,False,0.1,bert-base-multilingual-cased
deu,0.6823176823176823,0.6859744990892531,0.6821985168735377,False,0.1,bert-base-german-cased
eng,0.736854031027659,0.7412288786482335,0.7336904761904761,False,0.1,bert-base-uncased
hau,0.8262408286577472,0.8647087144920558,0.7969889437779346,False,0.1,bert-base-multilingual-cased
ita,0.6028303277480223,0.6213248011068835,0.6039682833747082,False,0.1,dbmdz/bert-base-italian-uncased
spa,0.7583059510770354,0.7583430699576457,0.7583242059145674,False,0.1,dccuchile/bert-base-spanish-wwm-cased
urd,,,,False,0.1,ERROR
zho,0.8247653985358904,0.8247952833278742,0.8248165618448637,False,0.1,bert-base-multilingual-cased
